😀	emoji grinning face
🫶🏿	emoji heart hands: dark skin tone
👐	emoji open hands
👐🏻	emoji open hands: light skin tone
👐🏼	emoji open hands: medium-light skin tone
👐🏽	emoji open hands: medium skin tone
👐🏾	emoji open hands: medium-dark skin tone
👐🏿	emoji open hands: dark skin tone
🤲	emoji palms up together
🤲🏻	emoji palms up together: light skin tone
🤲🏼	emoji palms up together: medium-light skin tone
🤲🏽	emoji palms up together: medium skin tone
🤲🏾	emoji palms up together: medium-dark skin tone
🤲🏿	emoji palms up together: dark skin tone
🤝	emoji handshake
🤝🏻	emoji handshake: light skin tone
🤝🏼	emoji handshake: medium-light skin tone
🤝🏽	emoji handshake: medium skin tone
🤝🏾	emoji handshake: medium-dark skin tone
🤝🏿	emoji handshake: dark skin tone
🫱🏻‍🫲🏼	emoji handshake: light skin tone, medium-light skin tone
🫱🏻‍🫲🏽	emoji handshake: light skin tone, medium skin tone
🫱🏻‍🫲🏾	emoji handshake: light skin tone, medium-dark skin tone
🫱🏻‍🫲🏿	emoji handshake: light skin tone, dark skin tone
🫱🏼‍🫲🏻	emoji handshake: medium-light skin tone, light skin tone
🫱🏼‍🫲🏽	emoji handshake: medium-light skin tone, medium skin tone
🫱🏼‍🫲🏾	emoji handshake: medium-light skin tone, medium-dark skin tone
🫱🏼‍🫲🏿	emoji handshake: medium-light skin tone, dark skin tone
🫱🏽‍🫲🏻	emoji handshake: medium skin tone, light skin tone
🫱🏽‍🫲🏼	emoji handshake: medium skin tone, medium-light skin tone
🫱🏽‍🫲🏾	emoji handshake: medium skin tone, medium-dark skin tone
🫱🏽‍🫲🏿	emoji handshake: medium skin tone, dark skin tone
🫱🏾‍🫲🏻	emoji handshake: medium-dark skin tone, light skin tone
🫱🏾‍🫲🏼	emoji handshake: medium-dark skin tone, medium-light skin tone
🫱🏾‍🫲🏽	emoji handshake: medium-dark skin tone, medium skin tone
🫱🏾‍🫲🏿	emoji handshake: medium-dark skin tone, dark skin tone
🫱🏿‍🫲🏻	emoji handshake: dark skin tone, light skin tone
🫱🏿‍🫲🏼	emoji handshake: dark skin tone, medium-light skin tone
🫱🏿‍🫲🏽	emoji handshake: dark skin tone, medium skin tone
🫱🏿‍🫲🏾	emoji handshake: dark skin tone, medium-dark skin tone
🙏	emoji folded hands
🙏🏻	emoji folded hands: light skin tone
🙏🏼	emoji folded hands: medium-light skin tone
🙏🏽	emoji folded hands: medium skin tone
🙏🏾	emoji folded hands: medium-dark skin tone
🙏🏿	emoji folded hands: dark skin tone
✍️	emoji writing hand
✍🏻	emoji writing hand: light skin tone
✍🏼	emoji writing hand: medium-light skin tone
✍🏽	emoji writing hand: medium skin tone
✍🏾	emoji writing hand: medium-dark skin tone
✍🏿	emoji writing hand: dark skin tone
💅	emoji nail polish
💅🏻	emoji nail polish: light skin tone
💅🏼	emoji nail polish: medium-light skin tone
💅🏽	emoji nail polish: medium skin tone
💅🏾	emoji nail polish: medium-dark skin tone
💅🏿	emoji nail polish: dark skin tone
🤳	emoji selfie
🤳🏻	emoji selfie: light skin tone
🤳🏼	emoji selfie: medium-light skin tone
🤳🏽	emoji selfie: medium skin tone
🤳🏾	emoji selfie: medium-dark skin tone
🤳🏿	emoji selfie: dark skin tone
💪	emoji flexed biceps
💪🏻	emoji flexed biceps: light skin tone
💪🏼	emoji flexed biceps: medium-light skin tone
💪🏽	emoji flexed biceps: medium skin tone
💪🏾	emoji flexed biceps: medium-dark skin tone
💪🏿	emoji flexed biceps: dark skin tone
🦾	emoji mechanical arm
🦿	emoji mechanical leg
🦵	emoji leg
🦵🏻	emoji leg: light skin tone
🦵🏼	emoji leg: medium-light skin tone
🦵🏽	emoji leg: medium skin tone
🦵🏾	emoji leg: medium-dark skin tone
🦵🏿	emoji leg: dark skin tone
🦶	emoji foot
🦶🏻	emoji foot: light skin tone
🦶🏼	emoji foot: medium-light skin tone
🦶🏽	emoji foot: medium skin tone
🦶🏾	emoji foot: medium-dark skin tone
🦶🏿	emoji foot: dark skin tone
👂	emoji ear
👂🏻	emoji ear: light skin tone
👂🏼	emoji ear: medium-light skin tone
👂🏽	emoji ear: medium skin tone
👂🏾	emoji ear: medium-dark skin tone
👂🏿	emoji ear: dark skin tone
🦻	emoji ear with hearing aid
🦻🏻	emoji ear with hearing aid: light skin tone
🦻🏼	emoji ear with hearing aid: medium-light skin tone
🦻🏽	emoji ear with hearing aid: medium skin tone
🦻🏾	emoji ear with hearing aid: medium-dark skin tone
🦻🏿	emoji ear with hearing aid: dark skin tone
👃	emoji nose
👃🏻	emoji nose: light skin tone
👃🏼	emoji nose: medium-light skin tone
👃🏽	emoji nose: medium skin tone
👃🏾	emoji nose: medium-dark skin tone
👃🏿	emoji nose: dark skin tone
🧠	emoji brain
🫀	emoji anatomical heart
🫁	emoji lungs
🦷	emoji tooth
🦴	emoji bone
👀	emoji eyes
👁️	emoji eye
👅	emoji tongue
👄	emoji mouth
🫦	emoji biting lip
👶	emoji baby
👶🏻	emoji baby: light skin tone
👶🏼	emoji baby: medium-light skin tone
👶🏽	emoji baby: medium skin tone
👶🏾	emoji baby: medium-dark skin tone
👶🏿	emoji baby: dark skin tone
🧒	emoji child
🧒🏻	emoji child: light skin tone
🧒🏼	emoji child: medium-light skin tone
🧒🏽	emoji child: medium skin tone
🧒🏾	emoji child: medium-dark skin tone
🧒🏿	emoji child: dark skin tone
👦	emoji boy
👦🏻	emoji boy: light skin tone
👦🏼	emoji boy: medium-light skin tone
👦🏽	emoji boy: medium skin tone
👦🏾	emoji boy: medium-dark skin tone
👦🏿	emoji boy: dark skin tone
👧	emoji girl
👧🏻	emoji girl: light skin tone
👧🏼	emoji girl: medium-light skin tone
👧🏽	emoji girl: medium skin tone
👧🏾	emoji girl: medium-dark skin tone
👧🏿	emoji girl: dark skin tone
🧑	emoji person
🧑🏻	emoji person: light skin tone
🧑🏼	emoji person: medium-light skin tone
🧑🏽	emoji person: medium skin tone
🧑🏾	emoji person: medium-dark skin tone
🧑🏿	emoji person: dark skin tone
👱	emoji person: blond hair
👱🏻	emoji person: light skin tone, blond hair
👱🏼	emoji person: medium-light skin tone, blond hair
👱🏽	emoji person: medium skin tone, blond hair
👱🏾	emoji person: medium-dark skin tone, blond hair
👱🏿	emoji person: dark skin tone, blond hair
👨	emoji man
👨🏻	emoji man: light skin tone
👨🏼	emoji man: medium-light skin tone
👨🏽	emoji man: medium skin tone
👨🏾	emoji man: medium-dark skin tone
👨🏿	emoji man: dark skin tone
